,Issued time,Country,Job category,Job title,Company,Part time/ Full Time,Star review,Number of reviews,Location,Job description,Indeed link,Min salary,Max salary,Average salary,Salary group,Minimum education level,Maximum education level,Python,Machine Learning,JavaScript,R,Java,IoT,Excel,Power BI,English,Chinese,SAS,Oracle,C++,C#,C,Qlik,alteryx,Tableau,SPSS,Powerpoint,PostgreSQL,SQL,MySQL,Visualisation tool,Programming tool,Star group
612,0,Hong Kong,Data analyst,Analyst Programmer/ Senior .NET Developer,Mtel Solutions Limited,Full-time,,,Hong Kong,"We are digital enabler

We create ideas, deploy strategies, deliver solutions and discover insights for clients to strengthen connections all over the globe. With over 200 talented designers, coders, thinkers, and organizers in Hong Kong, Guangzhou, Shanghai, and Taipei offices, we have been delivering digital solutions across Asian markets since 1999.

We are part of EY

In April 2019, Mtel became part of EY. Combining EY global resources and expertises, we deliver clients total solutions from strategies to operations.

We are based in Hong Kong

Mtel Hong Kong is a team of over 100 talents, delivering digital solutions for clients across Asia. Join us!

Responsibilities:
Develop web applications with C#, .NET Framework,ASP.NET MVC, and web technologies

Collaborate with project managers, UX designers, app developers and quality assurance to deliver projects for clients in various industries

Conduct design / code review to ensure the system quality

Able to analyst, prepare technical specification and identify possible problems and solution during project cycles

May act as a development team lead as assigned by technical manager

Requirements:
Degree / Higher Diploma in Computer Science, Information Technologyor related disciplines

Experience with Cloud-based platforms e.g. Azure and knowledge in mobile app development would be an advantage.

Strong sense of responsibility, eager to learn and a good team player

3+ years related experience would be considered as Senior or Team Lead

Interested parties please click Apply Now to apply job.

All applications applied through our system will be delivered directly to the advertiser and privacy of personal data of the applicant will be ensured with security.

Full-time,Permanent",https://hk.indeed.com/rc/clk?jk=f49711d0e78bfd83&fccid=b8ee9edd07414665&vjs=3,,,,Not Mentioned,Diploma,Bachelor,,,,,,,,,,,,,,Y,,,,,,,,,,,,5.0 stars
551,0,Hong Kong,Data analyst,Analyst Programmer (Java/ .NET),Speedy Group Corp. Limited,,,,Hong Kong,"Speedy Group is one of the leading integrated IT companies in Hong Kong, it aims to provide a customer-led, one-stop IT solution to customers in an effective, customer-centric and sustainable manner. Our company provides wide range of services from system/network implementation, cloud platform, application development and technical support services. To cope with our rapid growth, we are looking for a high caliber talent to join us in the following position:
Job Responsibilities: Participate in design development of Java programming or .NET applications Responsible for system analysis, design, development and system implementation Provide maintenance to existing applications Collect and understand user requirements and perform technical analyst and specification writing Job Requirements: Bachelor degree in Computer Science / Information Technology or related discipline At least 2 years of experience in system development and implementation of web-based (Apps) applications Solid experience in Java, JavaScript, C#, ASP.NET, MS SQL, etc. Good command of both spoken and written Chinese and English Immediate available is an advantage
All applications applied through our system will be delivered directly to the advertiser and privacy of personal data of the applicant will be ensured with security.

Full-time",https://hk.indeed.com/rc/clk?jk=ab040ca9bd68f037&fccid=b6d3a4a4f8688560&vjs=3,,,,Not Mentioned,Bachelor,Bachelor,,,Y,,Y,,,,Y,Y,,,,Y,,,,,,,,,,,,5.0 stars
106,0,Hong Kong,Data analyst,"Analyst, Fixed Income and OTC Derivatives",BOCI,Full-time,3.8,5,Hong Kong,"See Job Description

The role

This incumbent is reporting to the team head of Fixed Income and OTC Derivatives team.

Key accountabilities

Support in trade booking, daily processing support in related to FI Vanilla Exotic Bond/Note activities;

Support in trade booking, fixing, corporate event and other daily processing in relation to Commodities OTC Derivative and Structure Products, holiday support may be required;

Perform note issue insurance;

Hands on experience for trade SI input in CMU, Clearstream system is a must;

Co-ordinate and monitor pre post trade matching follow up investigation;

Co-ordinate between MO/DMO and other Ops processing team if any clients queries / problem on daily transaction;

Face off and handle enquiries raised from PB RMs/ARMS, MO/DMO/CSA;

Responsible for operations control to minimize operational failure;

Facilitate and support various back office related projects studies, user requirement, co-ordination, system testing implementation;

Assist line manager in completing assigned tasks, including new projects;

Work productively and cohesively with internal staffs and relative parties in respect of daily operations; and

Such other duties as shall from time to time be directed by your superiors

Skills experience

Degree holder with a minimum of 2-3 yearsrelevant experience;

Excellent figures sense and computer skills;

Diligent, committed and able to work under pressure;

Knowledge of VBA would be a plus;

Good interpersonal and communication skills;

Good spoken and written Cantonese, Mandarin and English.

Other

Please apply in strict confidence with full resume, academic record, current and expected salaries.

The personal data provided will be used for consideration of recruitment only. All personal data of unsuccessful candidate will be destroyed within 24 months.

Candidates with Enhanced Competency Framework (ECF): please state on the CV.

About us

As a leading investment bank in China and Hong Kong region, the investment banking arm of Bank of China, BOC International Holdings Limited (BOCI), is now seeking highly motivated, creative and success-oriented professional who would like to pursue the career for supporting our group.

Interested parties please click Apply Now to apply job.

All applications applied through our system will be delivered directly to the advertiser and privacy of personal data of the applicant will be ensured with security.

Full-time,Permanent",https://hk.indeed.com/rc/clk?jk=54c8494dab21145f&fccid=9d8e63fa79a4250b&vjs=3,,,,Not Mentioned,Bachelor,Bachelor,,,,,,,Y,,Y,Y,,,,,,,,,,,,,,,,
563,0,Hong Kong,Data analyst,QA Engineer Automated,International Recruitment Group - IRG ltd,Full-time,,,Hong Kong,"Duties
Design, Develop, Maintain Automated Testing Process, Framework & Scripts.Analyse new change functionality prepare test cases, data and expected results for the testing to be carried out.Perform manual / automated tests on new and changed functionalities and record outcomes accurately.Regression tests when required.Test Lead for small development projects, working with business analysts and developers.Investigate record problems found during testing.

Requirements
Strong C# Or Java Or C++ background
Experience in Test AutomationStrong Written and Verbal Communication in EnglishKnowledge of FIX protocolExposure to real time trading applicationsAbility to analyse solve problems.
This is an exceptional role that offers a significant career opportunity !",https://hk.indeed.com/rc/clk?jk=51f27a6b2f73ab81&fccid=29b61169ce6f72d0&vjs=3,,,,Not Mentioned,Not specified,Not specified,,,,,Y,,,,Y,,,,Y,Y,,,,,,,,,,,,5.0 stars
859,0,Hong Kong,Data scientist,Data Scientist (Team Lead),Conners Consulting,,,,"Sheung Wan, Hong Kong Island","Job Highlights*Formulate long term data analysis service strategy*Lead and mentor a team of data specialists*Evaluate data analysis / visualization toolsJob DescriptionOur client, a well-known financial institution, is looking for a high calibre to join their team.Responsibilities:Formulate long term data analysis service strategy to drive value for the businessInitiate and lead research and development of infrastructure for data extraction, preparation, and loading of data from a variety of sources using technology (e.g. big data, artificial intelligence, machine learning / deep learning)Lead and mentor a team of data specialists to serve the data analysis needs for business units (i.e. process for articulating benefits, cost and prioritization)Evaluate data analysis / visualization tools that will offer deeper insight into the data pipeline, allowing for critical discoveries to meet business requirementsSupport and lead training of colleagues from different business units to equip with basic data analysis skillPropose, build, and execute various data science models to leverage existing data to improve business by utilizing unstructured dataEvaluate effectiveness of proposed models in the business’s product / services and track the business performance against data analysis modelRequirements:Degree holder in Computer Science, Operational Research, Statistics or a related degreeMinimum 8 years’ work experience in data analysis in which at least 2 years in developing practical ML/DL solutions and in a role of data science team leadExpertise in Machine-Learning and Deep-Learning (including time-series analysis) and practical statistical analysisExperience with the following tools and technologies:Hadoop, Spark, Kafka,Relational SQL and NoSQL databasesData pipeline/workflow management toolsStream-processing systems such as Storm and Spark-StreamingObject-oriented/object function scripting languages such as R, Python, Java, C++, etc.Power BI or TableauExcellent skill in communication, presentation, stakeholder management, data analytics & modellingTo apply, please send your detailed resume or contact Miss Mak at 3462 3280 for a confidential discussion.Only shortlisted candidates will be notified. Applicants who are not contacted within two weeks may consider their applications unsuccessful.All data collected will be used for recruitment purpose only & will be used strictly confidential.Conners Consulting Limited2005 Kai Tak Commercial Building, 317 Des Voeux Road Central Hong Kong(website: www.connersconsulting.com)Job Type: Permanent",https://hk.indeed.com/company/Conners-Consulting/jobs/Data-Scientist-251392f0d5b66a09?fccid=0bd5a52336fcf608&vjs=3,,,,Not Mentioned,Bachelor,Bachelor,Y,Y,,Y,,,Y,Y,,,,,Y,,,,,Y,,,,Y,,Y,Y,5.0 stars
528,0,Hong Kong,Data analyst,IT Audit & Risk Assurance(Analyst to Manager)35-60K+bonus/Banking/Government/Tech Companies,Xponential Personnel Limited,Full-time / Part-time,,,Hong Kong,"XP Personnel is a Digital Recruitment Agency that provides top quality service to both our clients and candidates equally. We work with a wide variety of companies which include Fortune 500 companies, Start-ups, E-Commerce brands, FMCG, Blue Chip Organizations, Digital Agencies and Technology specialists.

Our team of recruitment consultants have over 18 years of industry knowledge collectively and together we cover a range of disciplines including Data Analytics, Digital Marketing, E-commerce, UX/UI, IT, Technology and Creative. Our company specialize in certain digital areas that covers a scope that deals with the whole industry, and thus being on course to provide the best possible service. Because of this, we have created a culture that helps us operate in an effective way, delivering results for our clients and candidates consistently.

To learn more about our recruitment services, please visit our company website:
www.xp-personnel.com

Job Duties:
Liaise with IT section leaders on remediation action plans to close the gaps identified during the IT security assessment and risk assessment, and report to Senior IT Security Manager directly

Working extensively with Group IT Security and local Information Risk Management on all IT Security requirements and projects. Assess relevant policies, procedures, standards, and controls are embedded into BAU IT processes by performing regular thematic reviews

Involve in new systems and projects under development as an independent advisor to IT teams and business operations throughout the project life cycle to safeguard the confidentiality, integrity, and availability of company information asset

Develop governance and policies regarding IT Security and Identity Access Management for FWD HK to ensure associated address inherent risks are managed and mitigated

Perform risk assessment and trend analysis to ensure that IT risks are identified, measured, recorded and reported, monitored, and re-mediated timely and within the Companys risk appetite

Prepare materials communicating IT security related messages and supporting management reporting on technology performance

Promote IT security awareness and conduct regular training for staff

Requirements:
Degree in Computer Studies, or related disciplines

Relevant professional qualifications (e.g. CISA, CISM, and CISSP)

At least 6 years of relevant experience

Experience from banking / insurance industry

Committed, proactive, assertive and positive with a can-do attitude

Strong understanding of risk and business

Fluent in both spoken and written English and Chinese

Knowledge of Microsoft Office

Able to articulate IT risk in relation to the business

Experienced in delivering presentations to senior management

Able to tailor communication materials for different audience

Interested parties please contact 3481-7283 or send resume toresume(at)xp-personnel.com

Full-time,Part-time,Temporary,Contract,Freelance,Permanent,Internship",https://hk.indeed.com/rc/clk?jk=70bdf31b92c718c4&fccid=be0d3538ee61597d&vjs=3,60000.0,60000.0,60000.0,60000-69999,Bachelor,Bachelor,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,5.0 stars
660,0,Hong Kong,Data analyst,System Analyst / Analyst Programmer / Programmer (Java / .NET / Mobile),Leadership Solutions Limited,Full-time,,,Hong Kong,"Founded in Hong Kong since 2003 to servebusinesses in Asia Pacific,including Greater China Region, Leadership Solutions offers a fully integrated suite of services in senior executive search andprofessional recruitment.
Our client is looking for high caliber candidates to join their technical team. Candidates will be exposed to sizable projects with reputable customers. The job offers excellent opportunity for candidates to develop his/her career in IT Industry. Responsibilities Involved in System Development Life Cycle (SDLC) from System Analysis and Design (SAD), Implementation, UAT and Rollout of Application. Prepare System Documentation in the project life cycle. Requirements Degree in Computer Science or related disciplines For SA, 6 years exp in system design with Java or .net exp For AP or Programmer post, at least 1 year exp in programming with Java or .Net or VB or C, Objective C, Android, iOS, PHP For Mobile Developer, at least 1 year exp in developing mobile applications on both hybrid and native apps (Android/iOS platform) Familiar with software development life cycle and IT documentation Strong analytical skills, self-motivated and able to work under pressure Proficiency in both English and Chinese All personal information collected will be treated in strict confidential and be used solely for recruitment purpose
All applications applied through our system will be delivered directly to the advertiser and privacy of personal data of the applicant will be ensured with security.

Full-time,Permanent",https://hk.indeed.com/rc/clk?jk=12c53b11e9c798b0&fccid=4e06f2ea24fdeaee&vjs=3,,,,Not Mentioned,Bachelor,Bachelor,,,,,Y,,,,Y,Y,,,,,,,,,,,,,,,,5.0 stars
264,0,Hong Kong,Data analyst,"AVP/Associate/Analyst, Infrastructure (IT Division)",BOC International Holdings Ltd,Full-time,3.5,4,Hong Kong,"As a leading investment bank in China and Hong Kong region, the investment banking arm of Bank of China, BOC International Holdings Limited (“BOCI”), is now seeking highly motivated, creative and success-oriented professional who would like to pursue the career for supporting our group.
EI Linux/Unix AdministratorResponsibilities: Day to day responsibilities will include platform maintenance and writing scripts, execution of routine tasks.Working with system engineering, database engineering, development and information security team to design and implement an effective operating environment to support the growing data integration and business intelligence needs of the organization.Install and configure new products and components, stand up new environments.Creation and maintenance of technical documentation, deployment diagrams and check-listsInteract with vendors in related technology stacks Excellent analytical and problem solving skills Knowledge of systems, application architecture and data warehouse architectureReview and execute security hardening on OS, conduct security controls against vulnerability such as patches and breakfixPlan and migrate obsolete Unix OS to Linux, assist the upgrade of obsolete Linux OSRequirements: Good technical documentation skill ITIL Recognized degree or diploma in Information Technology or equivalent Proven experience on Unix/Linus server platform installation and configurationSolid administration experience in large Production environments (preferably in Finance industry), with in-depth knowledge of Veritas Cluster ServicesStrong experience on Unix/Linux and Windows OS administration Must be familiar with NFS and CIFS and SFTP protocols Be willing to work outside business hours, including some weekends. This role requires the candidate to be available on-callNotes to applicants: Please apply in strict confidence with full resume, academic record, current and expected salaries.The personal data provided will be used for consideration of recruitment only. All personal data of unsuccessful candidate will be destroyed within 24 months.Candidates with Enhanced Competency Framework (ECF): please state on the CV.
All applications applied through our system will be delivered directly to the advertiser and privacy of personal data of the applicant will be ensured with security.

Full-time,Permanent",https://hk.indeed.com/rc/clk?jk=dedc3668844d4f7f&fccid=44246491b333ea10&vjs=3,,,,Not Mentioned,Not specified,Not specified,,,,,,,Y,,,,,,,,,,,,,,,,,,,
33,0,Hong Kong,Data analyst,Business Analyst,KY & Company,,,,Hong Kong,"Perform in depth As Is To Be analysis to deliver best in class personalised, digital experiencesSupport delivery of process re-engineering & digital transformation that are built once and deployed across Global clients officesDevelopment of the Digital Analysis document set as part of User Centered Design activity in line with committed timescales and methodology, securing sign-off from stakeholders as required.Supporting Agile Scaled delivery and Development Operations development, automation, integration, testing and implementation ensuring digital deliverables meet business requirements and are fit for purpose to release to customers.Highly collaborative working with all other DevelopersIndirect leadership support or coaching for less experienced team members contributing to optimized end to end process.Quality AssuranceIdentification of key risks, issues and interdependencies and providing appropriate mitigation strategies or escalating as appropriate.Required Skills:GraduateExperience in a highly collaborative environmentExceptional analytical, planning and governance skillsLeadership experience in customer focused organizations, in disciplines such as digital, programme or change management skills motivating and inspiring others to excelSubject Matter Expertise of digital transformationStrong commercial focus, ability to balance risks versus rewards and maximize cost effectiveness and profitability for the business.Highly developed communication skills, both written and verbal, to explain complex or technical issuesPragmatic decision making skills, with the ability to make clear judgments based on data and understand the implications.Ability to lead and influenceExcellent understanding of project methodology, frameworks and best practiceWe hire good problem solver.Welcome all fresh graduate. Please visit our web site: www.kyand.coJob Type: Full-timeExperience:business analysis: 1 year (Preferred)",https://hk.indeed.com/company/KY-&-Company/jobs/Business-Analyst-4870d61178c04df7?fccid=b34b52da8ee44fd0&vjs=3,,,,Not Mentioned,Not specified,Not specified,,,,,,,Y,,,,,,,,,,,,,,,,,,,5.0 stars
631,0,Hong Kong,Data analyst,Change Manager -up to 65K 12 months rolling contract,Protiviti Hong Kong,Full-time,,,Hong Kong,"Protiviti is a global consulting firm that delivers deep expertise, objective insights, a tailored approach and unparalleled collaboration to help leaders confidently face the future. Through our network of more than 70 offices in over 20 countries, Protiviti and its independently owned Member Firms provide clients with consulting solutions in finance, technology, operations, data, analytics, business performance improvement, risk and internal audit.

Our client is one of the largest global banks in the world and offers a wide range of financial services from investment banking, retail banking, commercial banking and many more. They are currently investing heavily into digital banking and are looking to lead regional digital programme on public websites for 12 countries in APAC, initially on a 12 months rolling contract.

As a business analyst you will engage in the following:
Facilitate the definition of user requirement with business

Contribute to the day to day efficiency of operations department by giving solutions to day to day problems as far as systems and procedures are confirmed, drawing up current procedures and operational control documents applicable

Contribute to the system implementation by analysing and specifying requirements for new systems, proposing plan for a consistent use of systems between sites, users to get processes adapted

Conduct performance gap analysis

Perform quality assurance and communicate key insights and findings to product team.

Your profile

To qualify as a business analyst for this role, you MUST have:

University graduate preferably in Business, Finance, IT or other related disciplines

Banking or Insurance Domain experience required

Agile project delivery is a must

Fluency in English essential, Cantonese preferred

Immediately available highly preferred and will be considered first

Apply Today

To apply online (Word attachment only), please click the Apply Now button. Please note that only short-listed candidates will be contacted.

About Protiviti

Protiviti is a global consulting firm that delivers deep expertise, objective insights, a tailored approach and unparalleled collaboration to help leaders confidently face the future. Through our network of more than 70 offices in over 20 countries, Protiviti and its independently owned Member Firms provide clients with consulting solutions in finance, technology, operations, data, analytics, business performance improvement, risk and internal audit. As a Protiviti consultant, you will not only work on interesting business issues with world-class companies, but you will also have access to training and networking opportunities to accelerate your expertise.

All applications applied through our system will be delivered directly to the advertiser and privacy of personal data of the applicant will be ensured with security.

Full-time,Contract",https://hk.indeed.com/rc/clk?jk=2d1d202c2a40253f&fccid=e4e99c9391b51717&vjs=3,65000.0,65000.0,65000.0,60000-69999,Bachelor,Bachelor,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,5.0 stars
