,Issued time,Country,Job category,Job title,Company,Part time/ Full Time,Star review,Number of reviews,Location,Job description,Indeed link,Min salary,Max salary,Average salary,Salary group,Minimum education level,Maximum education level,Python,Machine Learning,JavaScript,R,Java,IoT,Excel,Power BI,English,Chinese,SAS,Oracle,C++,C#,C,Qlik,alteryx,Tableau,SPSS,Powerpoint,PostgreSQL,SQL,MySQL,Visualisation tool,Programming tool
333,0,Singapore,Data analyst,Digital Content Marketing Specialist,CLICK2VIEW PTE. LTD.,,,,Shenton Way,"Roles & Responsibilities
Attitude

Curiosity, willingness to learn.
Enjoys communicating (lots of emails)
Attention to detail. Willing to go back to make sure nothing has been missed. (again and again)

Able to

Build a content marketing calendar and manage organization workflows
Implement SEO best practices and be comfortable running A/B tests in many countries at once
Orchestrate suitable digital content strategies for clients across online platforms, including advertising campaigns on social media, as well as email / newsletter distribution.
Manage a content marketing budget
Measure the results of marketing activity to inform future marketing campaigns
Collaborate with a team of writers, illustrators and data analysts

Skills and knowledge

Proficiency with Google Analytics and social media analytics.
Time management skills.
Excellent interpersonal skills.
Excellent written and verbal communication.
Basic to advanced abilities with SEO
Editorial requirements include development of editorial governance so content is consistent with our brand voice, style and tone.

Requirements

Bachelor's degree or equivalent experience in Marketing, English, Data Science, Journalism, Public Relations or related communications field.
Experience creating content for the web and growing a social audience
A brand publisher mindset: to create the content our audience is looking for and then to optimize the path to conversion
Ability to analyze and present content and social performance
Experience with Wordpress, Google analytics, Slideshare, and the top social channels
Project management skills and managing the priorities of multiple stakeholders in a complex environment, with focus on the delivery of results in the form of engagement, leads and sales
Management of all creative resources including designers, writers, and other agency personnel
[CANDIDATES WHO REQUIRE WORK PASSES NEED NOT APPLY]
[CANDIDATES WHO REQUIRE WORK PASSES NEED NOT APPLY]",https://sg.indeed.com/rc/clk?jk=0fa0b38f5ca4eb0b&fccid=ad4ae32ed4152914&vjs=3,16260.0,24390.0,20325.0,20000-29999,Bachelor,Bachelor,,,,,,,Y,,Y,,,,,,,,,,,,,,,,
766,0,Singapore,Data scientist,"Assistant Manager, Data & Innovation",AXA INSURANCE PTE. LTD.,,3.9,"3,713",Shenton Way,"Roles & Responsibilities
As a Senior Data Scientist, your main mission will be to provide your technical expertise both to shape the data strategy of the company and to provide actual solutions to business challenges faced currently by operational entities in the field of customer processes, business processes and new services.

KEY ACCOUNTABILITIES:

Business Modeling:

Understanding operational needs by collaborating with specialized teams
Formalize needs into mathematical models and problems
Explore databases (including large databases, unstructured and open) to find relationships and insights

Problem solving:

By leveraging the formalization of appropriate problems, proposing solutions based on available tools
Statistics: regression and statistical analysis
Algorithms: data mining, clustering, artificial intelligence, machine learning
Deep learning
Select or create the relevant technical data processing solutions for the needs addressed
Manage and transmit the knowledge through appropriate documentation and events (training courses, seminar, etc.)

Contribute to the data strategy of the company:

Link business needs to analytical solutions
Build and promote data strategic assets for the business: marketing, products, services and tools
Maintain and evolve the part of the innovation process linked to the data science activity
Put in place the metrics and the dashboards to provide visibility for data science activity
Present and promote solutions through relevant communities and committees

EXPERIENCE & QUALIFICATIONS:

Master’s degree in Computer Science, Computer Engineering, mathematics, statistics, physics or similar;
Deep understanding of machine learning concepts (regression, classification, clustering, dimensionality reduction), deep learning (CNN, RNN/LSTM, GAN), , time series data (DeepAR, Prophet), anomaly detection, compute vision and statistical algorithms;
Ability to model the reality of business into equations, and to understand the implications and limitations of a model;
Relevant work experience in data processing (data mining, social network analysis, text mining, etc.);
Proficient in Python & Spark;
Strong knowledge in machine learning tools and libraries (scikit-learn, MLlib, etc.), Python deep learning ecosystem (PyTorch, Tensorflow, Keras, MXNet, etc), databases (relational and NoSQL), data visualization, web scripting;
At least 5 years of strong professional experience;
[CANDIDATES WHO REQUIRE WORK PASSES NEED NOT APPLY]
[CANDIDATES WHO REQUIRE WORK PASSES NEED NOT APPLY]",https://sg.indeed.com/rc/clk?jk=f5811dc3384d3218&fccid=753062d67d31c43a&vjs=3,35230.0,51490.0,43360.0,40000-49999,Master,Master,Y,Y,,,,,,Y,,,,,,,,,,,,,,,,Y,Y
147,0,Singapore,Data analyst,Business Analyst,NTT DATA SERVICES SINGAPORE PTE. LTD.,Full-time,3.5,"2,436",Singapore,"Roles & Responsibilities
Should have worked in Temenos T24

• Analyzing Requirements and assessing System Impact, documenting the Impact Analysis/Functional Specification • Supporting the communication and delivery of functional requirements with relevant delivery teams • Testing the changes and ensuring the successful implementation of requirements • Liaise with various business and project stakeholders on an ongoing basis to understand their needs and priorities as well as to pro-actively manage expectations, buy-in, feedback and resolution of issues • Strong Experience working with any one of the modules of T24 including Client Onboarding, Client Lifecyle maintenance, Online Trading, Structured Products & Derivatives, Bonds, Cash Equities FX Products, Unit Trust Funds, Loans & Deposits, Credit & Lending Limits, Finance reporting,Client Output Experience working in the trade processing lifecycle from Order routing, capture, confirmation, clearing & Settlement for an investment Bank, broker/ dealer • Good analytical and problem solving skills coupled with creativity and can-do attitude • Experience of working in a multi-cultural environment with ability to remotely coordinate with various spread across different locations and time-zones
[CANDIDATES WHO REQUIRE WORK PASSES NEED NOT APPLY]
[CANDIDATES WHO REQUIRE WORK PASSES NEED NOT APPLY]",https://sg.indeed.com/rc/clk?jk=9686fc59aeb4df62&fccid=ac38a400acc8fe73&vjs=3,35230.0,51490.0,43360.0,40000-49999,Not specified,Not specified,,,,,,,,,,,,,,,,,,,,,,,,,
252,0,Singapore,Data analyst,Equity Research (Emerging Markets),Ambition,,4.1,15,Singapore,"My client is a top tier fund in Singapore and currently hiring Equity Research Analyst to specialize in emerging markets.
My client is a top tier fund in Singapore and currently hiring Equity Research Analyst to specialize in emerging markets.
This role will be a key contributor to the team. The main responsibilites are performing analysis on investment ideas, modelling financial statements, developing investment thesis, conducting due diligence on portfolio companies through corporate engagement, site visits, value-chain analysis etc.
The successful candidate must have the following:
2-5 years of equity research experience
Strong financial modelling and analytical skills
Clear investment thought process with excellent spoken and written communication skills
Occasional travel to other emerging markets is expected
If you believe you fit the requirements for the role, please click APPLY NOW or send CV directly to arya.zhao@ambition.com.sg
Data provided is for recruitment purposes only. Business License Number: 200611680D. EA Registration Number: R1656980",https://sg.indeed.com/rc/clk?jk=57ea426676fea9a3&fccid=c9cd3dc1c74035d6&vjs=3,,,,Not Mentioned,Not specified,Not specified,,,,,,,,,,,,,,,,,,,,,,,,,
770,0,Singapore,Data scientist,Associate Product Owner,Yara,Full-time,,,Singapore,"Date posted: Apr 9, 2020
Location:
Singapore, SG
Job Function: Sales & Marketing
Job Type: Permanent
Job Requisition ID: 3345
Associate Product Owner
About the Unit
There are more than 500 million smallholder farms globally. 2.5 billion people depend on Smallholder Communities for their food and livelihoods. Smallholder regions are characterized by low living standards, high rates of illiteracy and low agricultural productivity. Yara's mission is ""Responsibly Feed the World and Protect the Planet"". Key to achieving this is enabling thriving Smallholder Communities.

In 2017, Yara created the business unit, Digital Farming. At Yara Digital Farming, we are building solutions for farming communities, constructing hardware and sensors, crunching satellite data, applying artificial intelligence, and turning research results into services, products and solutions, all aimed at achieving this mission.

Our team is made up of designers, software engineers, hardware developers, data scientists, services and solution managers and product owners. Digital Farming is a strategic priority within Yara. Each year we significantly grow our global Digital Farming team and country coverage. With hubs in Europe, Latin America, Asia and North America, Yara Digital Farming is shaping the future of farming by building new digital solutions solving critical problems within agriculture.


Responsibilities
Work closely with Product Owner to support end to end product management and successful implementation of product into the market from Design, Research, Data and GTM activities
Support PO on backlog management, grooming and coordinating with the engineering team to deliver functional solutions
Develop and elaborate Acceptance Criteria for user stories
Conduct analysis into a number of activities including Sprint Planning and Backlog Grooming, and recommend next actions and decisions
Operate in cross-functional teams; including design, product, content, engineering and marketing in collaborative effort to share and implement research, data analytics and user experience insights
Work closely with digital agronomy and with Yara Core Business to create value for digital solutions
Align processes and decisions with G&C team to ensure smooth solution rollout & drive adoption in market
Ensure all team members/ documentation/ processes/ dashboards are properly documented and updated consistently in Jira/Confluence & other shared spaces for the project
Profile
Understanding and use of agile/ scrum methodologies
Possess core values such as accountability, integrity, mutual respect, and appreciation to different opinions
Consumer-focused, preferably in low LSM segment
Additional Information
We encourage all qualified applicants from all backgrounds to apply and are committed to creating a work environment that fits gender equality and allows combining career progress with the needs of a family or other personal circumstances.
Why us?
Evolving tech development division of an established agricultural products and services company.
Explore and develop digital, software, hardware products, which provide value to farmers, smallholder communities and the value chain.
Be part of our mission to build sustainable solutions that benefit humanity and the environment.
Full-time, permanent and freelance contract options available with competitive remuneration + benefits.
Support for personal development, training and continuous learning.
Commitment to using new technologies and frameworks, meetups, and knowledge sharing.
Apply no later than

Job Segment: Agricultural, Agronomy, Engineer, Sustainable Agriculture, Product Manager, Agriculture, Engineering, Operations",https://sg.indeed.com/rc/clk?jk=9f7e881f022792c4&fccid=dd94afe68cf83140&vjs=3,,,,Not Mentioned,Not specified,Not specified,,,,,,,,,,,,,,,,,,,,,,,,,
976,0,Singapore,Data scientist,"Legal Counsel, Direct Sales",Autodesk,,4.1,433,Singapore,"This role requires international commercial transaction skills as well as the ability to provide hands-on proactive and practical legal advice and support to business partners on a wide range of commercial and related matters across the region.
Responsibilities

The role includes broad responsibilities and will provide direct support to the sales organization by:

Negotiating high-profile strategic agreements with Autodesk’s largest and most sophisticated customers
Partner with APAC’s Named Accounts, Consulting, CSM and Procurement leadership to support quarterly business needs and assist in the development and implementation of new programs, offerings and business initiatives
Assist in the development and implementation of compliance and other corporate legal team led initiatives and programs
Collaborate with Autodesk’s other legal functions to help draft and continually improve a broad range of complex sales, consulting and procurement agreements, playbooks, policies and processes related to SaaS and on-premises software direct and enterprise sales, consulting and CSM oriented business models
Partner with the Global Sales Operations team to efficiently support the business, and
Participate and contribute to global and geo focused legal department programs and projects as may be required

Minimum Qualifications
Law degree from an accredited/recognized university, and a fully qualified lawyer
At least 6 years of combined law firm and in-house experience with a global public Company and experience working with Internet or technology companies preferred
This role requires an experienced lawyer with sound legal and business judgment, who has worked with the sales and procurement functions in the technology sector
Knowledge and experience related to SaaS and on-premises software, general IP and technology licensing matters, antitrust, marketing, payment systems, privacy and data security, and compliance desirable
Must be able to function independently, and work proactively as well as collaboratively and cross-functionally
Ability to work under pressure in an intense, fast-paced environment required
Strong analytical and problem-solving skills
Exceptional judgment and creativity, with the ability to think strategically and give practical advice appropriately weighing legal and business objectives
Ability to handle ambiguity, juggle many matters at once and quickly shift from one situation or task to another
Strong executive presence, credibility and the ability to influence stakeholders
Excellent drafting, oral and interpersonal skills
Enthusiasm for positive and respectful relationships internally and externally

About Autodesk
With Autodesk software, you have the power to Make Anything. The future of making is here, bringing with it radical changes in the way things are designed, made, and used. It's disrupting every industry: architecture, engineering, and construction; manufacturing; and media and entertainment. With the right knowledge and tools, this disruption is your opportunity. Our software is used by everyone - from design professionals, engineers and architects to digital scientists, students and hobbyists. We constantly explore new ways to integrate all dimensions of diversity across our employees, customers, partners, and communities. Our ultimate goal is to expand opportunities for anyone to imagine, design, and make a better world.

At Autodesk, we're building a diverse workplace and an inclusive culture to give more people the chance to imagine, design, and make a better world. Autodesk is proud to be an equal opportunity employer and considers all qualified applicants for employment without regard to race, color, religion, age, sex, sexual orientation, gender, gender identity, national origin, disability, veteran status or any other legally protected characteristic. We also consider employment for all qualified applicants regardless of criminal histories, consistent with applicable law.
To all recruitment agencies: Autodesk does not accept unsolicited headhunter and agency resumes. Autodesk will not pay fees to any third-party agency or company that does not have a signed agreement with Autodesk, Inc.",https://sg.indeed.com/rc/clk?jk=4e4725ef9846256d&fccid=7136762d065a5ad7&vjs=3,,,,Not Mentioned,Bachelor,Bachelor,,,,,,,Y,,,,,,,,,,,,,,,,,,
748,0,Singapore,Data scientist,Chief Data Scientist,NextWave Partners,,,,Singapore,"AI Digital Product
Hands-on Technical Leader to drive advanced analytics strategy and execution
Building Prototype to Production

We are looking for a Chief Data Scientist who will be leading and driving the direction of advanced analytics strategy and implementation. A leader who loves data product development and getting the hands dirty to build solutions while inspiring a team of data scientists to excel in their capability,
you will be a great fit for this role.
You will be leading the data scientists to perform high standards of work and advising on algorithms and methodologies to use, building prototype to implementation. In this pivotal technical leadership role, you will support the strategic planning to strength existing opportunities with the current client using the digital product and support in advising new clients for the continued growth of the business.
Requirements
Minimum of eight (8) years of experience in data science
Minimum of three (3) years of experience in managing and leading a data science team with proven success as a people manager
Relevant experience in financial domain, whether in financial services industry or have dealt with financial data science work
Ideally PhD holder in relevant fields including Statistics, Economics, Computer Science
Proven success in overall establishment and development of data science capability
Proficient in programming language such as Python, R, SQL
Ability to designing a data strategy roadmap and outlining the priorities and objectives for the business in the long run
Experience in using cloud and big data platform including AWS, Cloudera, Hadoop
Familiar with containerisation
Good to have experience working on data science projects for finance, trading behaviours
Good to have knowledge of insurance principles, underwriting and the various functions of an insurance organization, including Finance, Underwriting, Sales and Claims desirable.
Excellent communicator to effectively interact and convince business and technical stakeholders across all levels

Reaching out
For a confidential discussion on this or any other opportunities available in the market please contact Vinny Chan at vinny.chan@next-wavepartners.com - Direct Line: +65 6914 9936
EA License No: 16S8303 - EA Registration No: R1440239",https://sg.indeed.com/rc/clk?jk=0daf33e79bde6d95&fccid=ed1418fbf80dbb3e&vjs=3,,,,Not Mentioned,PhD,PhD,Y,,,,,,Y,,,,,,,,,,,,,,,,,,Y
749,0,Singapore,Data scientist,AI Data Scientist,17MEDIA SG PTE. LTD.,Full-time,,,Singapore,"Roles & Responsibilities
At 17 Media SG, we rely on powerfully insightful data to power our systems and solutions. We’re seeking an experienced data scientist to deliver that insight to us on a daily basis. Our ideal team member will have the mathematical and statistical expertise you’d expect, but a natural curiosity and creative mind that’s not so easy to find. As you mine, interpret, and clean our data, we will rely on you to ask questions, connect the dots, and uncover opportunities that lie hidden within—all with the ultimate goal of realizing the data’s full potential. You will join a team of data specialists, but will “slice and dice” data using your own methods, creating new visions for the future.

Objectives of this Role

Collaborate with product design and engineering to develop an understanding of needs
Research and devise innovative statistical models for data analysis
Communicate findings to all stakeholders
Enable smarter business processes—and implement analytics for meaningful
insights
Keep current with technical and industry developments

Daily and Monthly Responsibilities

Work as the lead data strategist, identifying and integrating new datasets that can be leveraged through our product capabilities and work closely with the engineering team to strategize and execute the development of data products
Execute analytical experiments methodically to help solve various problems and make a true impact across various domains and industries
Identify relevant data sources and sets to mine for client business needs, and collect large structured and unstructured datasets and variables
Devise and utilize algorithms and models to mine big data stores, perform data and error analysis to improve models, and clean and validate data for uniformity and accuracy
Analyze data for trends and patterns, and Interpret data with a clear objective in mind
Implement analytical models into production by collaborating with software developers and machine learning engineers.
Communicate analytic solutions to stakeholders and implement improvements as needed to operational systems

Skills and Qualifications

Bachelor’s degree in statistics, applied mathematics, or related discipline
5+ years experience in data science
Proficiency with data mining, mathematics, and statistical analysis
Advanced pattern recognition and predictive modeling experience
Experience with Excel, PowerPoint, Tableau, SQL, and programming languages (i.e., Java/Python, SAS)
Comfort working in a dynamic, research-oriented group with several ongoing concurrent projects

Preferred Qualifications

Master’s degree in stats, applied math, or related discipline
3+ years of project management experience
Professional certifications
[CANDIDATES WHO REQUIRE WORK PASSES NEED NOT APPLY]
[CANDIDATES WHO REQUIRE WORK PASSES NEED NOT APPLY]",https://sg.indeed.com/rc/clk?jk=644c181d6be0352d&fccid=e9c0655a7d1bde0f&vjs=3,32520.0,54200.0,43360.0,40000-49999,Bachelor,Master,Y,Y,,,,,Y,,,,Y,,,,,,,Y,,,,,,Y,Y
1137,0,Singapore,Data scientist,Manager (Strategic Development),National Gallery Singapore,,4.2,9,Singapore,"ABOUT NATIONAL GALLERY SINGAPORE
UNVEILING MODERN SINGAPORE AND SOUTHEAST ASIAN ART

National Gallery Singapore is a leading visual arts institution overseeing the largest public collection of modern

art in Singapore and Southeast Asia. Situated at the birthplace of modern Singapore, in the heart of the Civic

District, the Gallery is housed in two national monuments – City Hall and former Supreme Court – that have

been beautifully restored and transformed into this exciting 64,000 square metres venue. Reflecting Singapore’s

unique heritage and geographical location, the Gallery aims to be a progressive museum that creates dialogues

between the art of Singapore, Southeast Asia and the world to foster and inspire a creative and inclusive society.

This is reflected in our collaborative research, education initiatives, long-term and special exhibitions, and

innovative programming. The Gallery also works with international museums such as National Museum of

Modern Art, Tokyo (MOMAT), National Museum of Modern and Contemporary Art, Korea (MMCA), Centre

Pompidou, Musée d'Orsay and Tate Britain to jointly present Southeast Asian art in the global context,

positioning Singapore as a key node in the global visual arts scene.

In 2018, the Gallery was the only museum in Southeast Asia that received a ranking in The Art Newspaper’s

annual global survey of attendance at museums and took the 38th place. It is also the first museum in Asia to

receive the Children in Museums Award by the European Museum Academy and Hands On! International

Association of Children in Museums. It also won the awards for “Best Theme Attraction” at TTG Travel Awards

2017, “Best Attraction Experience”, “Breakthrough Contribution to Tourism” and “Best Customer Service

(Attractions)” at the prestigious Singapore Tourism Awards in 2016 for its role in adding to the vibrancy of

Singapore’s tourism landscape. For more information, visit https://www.nationalgallery.sg.



Manager (Strategic Development)


RESPONSIBILITIES

Tasks include but are not limited to the following -

Develop strategies to achieve defined organisation goals.
Employ data into clear and useful reports with recommendations to inform the
organisation’s decisions.
Analyse qualitative and quantitative research including devising and evaluating methods for
collecting data, such as surveys, focus groups, opinion polls and impact studies etc.
Monitor and perform industry scans and analysis, benchmarking and comparative analysis in key
areas of the international and domestic arts and cultural spaces, and provide insights that has
potential impact to the arts and culture landscape.
Assist in other strategic development division related activities as applicable.

REQUIREMENTS

Degree in Social Sciences, Business Administration or in a similar field.
More than three years of experience in delivering quantitative research, data analysis, business
intelligence, market research or related areas; qualitative research experience is a plus.
Prior experience in strategic planning role or business analyst.
Proven track record in executing and project manage all phases of a research project.
Strong interpersonal and communication skills and able contribute as a team player with strong
collaboration skills.
Good analytical skills with problem-solving aptitude and ability to interpret relevant data.
Creative, resourceful, detail-oriented and able to manage multiple projects simultaneously.
Competent in utilizing research analytics tools; SPSS is a plus.
Working knowledge of Microsoft Office Suite essential; Working knowledge of Tableau and Power BI is a
plus.
General understanding of advanced analytics and experience of working alongside data
scientists/analysts will be an asset.
Keen interest and knowledge in arts and culture.
Please send your detailed CV to careers@nationalgallery.sg. We regret that only shortlisted candidates will be
notified.",https://sg.indeed.com/rc/clk?jk=72c25e76039d52df&fccid=3b61d080bccd9772&vjs=3,,,,Not Mentioned,Bachelor,Bachelor,,,,,,,,Y,,,,,,,,,,Y,Y,,,,,Y,
37,0,Singapore,Data analyst,Customer Analyst (Fairprice),STAFFONDEMAND PTE. LTD.,,,,Boon Lay,"Roles & Responsibilities
COMPANY DESCRIPTION

As Singapore’s leading supermarket retail player and a household name close to all, we have grown with you over the years. It is now your turn to grow an exciting new career and fulfil your aspirations with us. Join us as we embark on a journey to make lives better for our customers, community, environment and employees.

At NTUC FairPrice, we offer you more than just a job. We are committed in giving our employees a rewarding career through comprehensive development opportunities. We promise a wonderful workplace culture with ample opportunities for growth at different levels of your career. Every of our 10,000 employees across Singapore is important.

If the prospect of working in an organization at the forefront of retail technology and innovation excites you, look no further.

Grow your career with us today and make a difference.

.

RESPONSIBILITIES

The role of Customer Analyst will be to apply advanced data analytic tools (statistical modelling, visualisation, and marketing optimization) to solve complex problems, support decision making and design solutions for FairPrice. He/she will report to Head of Business Analytics.

Responsibilities
Analyse business performance and trends to identify potential opportunities for sales growth
This involves deep dive analysis to understand key drivers for sales and developing actionable recommendations for the business
Identifying customer segments and understanding their buying behavior, demographics and life stage to develop strategies on how to engage different customer groups
Measuring the effectiveness of pricing and promotion activities in stores
Developing recommendations on how to use different promotion mechanics
Uncover insights, both descriptive and predictive, for the end-to-end customer management journey, i.e. acquisition, utilisation, retention and reactivation
Develop dashboards to drive the implementation of self-service analytics to the other functions within the organization
Drive transformational change within the organization towards customercentricity and data driven decision making
QUALIFICATIONS
Degree in Business/ Statistics/ Mathematics/Computer Science with minimum 3-5 years of relevant experience in database marketing, customer dataanalytics or customer data science.
Preferably with working experience in commercial/operational decision making
Must be highly technical with strong data analytics competencies
Focus will be on people with experience dealing with large datasets with heavy transaction platforms
Demonstrated hands-on experience of optimization engines for targeting marketing offers.
Experience in working within data science teams, and product teams utilizing the latest software including capable experience with latest tools like SQL, SAS,R, HADOOP, PYTHON, SPARK, HANA, TABLEAU, and other latest data platforms
Preferably someone have worked on retail and new e-biz enabled models and how data is architected
Able to work independently and manage ambiguity
Clear structural thinking, and strong curiosity for problem solving
Motivated, meticulous and results oriented
Resourceful and problem solver
Excellent interpersonal, communication and project management skills
Team player and ability to collaborate with stakeholders across functions
[CANDIDATES WHO REQUIRE WORK PASSES NEED NOT APPLY]
[CANDIDATES WHO REQUIRE WORK PASSES NEED NOT APPLY]",https://sg.indeed.com/rc/clk?jk=9df72d300a4c13e0&fccid=576bb8f56c826ae6&vjs=3,24390.0,32520.0,28455.0,20000-29999,Bachelor,Bachelor,,,,,,,Y,Y,,,Y,,,,,,,,,,,,,Y,
